District,Soil_Type,Previous_Crop,Current_Crop,Stage,N,P,K,pH,Moisture,Target_Action,Situation
Tharparkar,Sandy Loam,Guar,None,Empty Field,76.8,23.9,85.2,7.22,29.3,Wheat,Pre-Sowing
Tharparkar,Sandy Loam,Desert grasses,None,Empty Field,104.0,68.0,123.6,8.35,15.4,Dates,Pre-Sowing
Mirpur Khas,Clay Loam,Rice,None,Empty Field,186.5,87.8,224.5,6.14,73.2,Banana,Pre-Sowing
Mirpur Khas,Alluvial,Cotton,None,Empty Field,117.4,56.5,204.2,6.06,67.1,Tomato,Pre-Sowing
Umerkot,Loamy,Chilli,None,Empty Field,60.4,24.0,92.6,7.45,25.0,Bajra,Pre-Sowing
Umerkot,Loamy,None,Chilli,Flowering,48.4,22.5,64.4,8.07,13.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Mirpur Khas,Clay Loam,None,Guava,Seedling,61.7,26.8,106.2,7.09,33.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,None,Wheat,Maturity,83.5,27.8,95.6,7.31,38.5,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,None,Moth bean,Flowering,18.7,49.9,51.3,7.79,18.7,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,Sunflower,None,Empty Field,73.9,21.3,41.5,8.17,20.5,Moth bean,Pre-Sowing
Tharparkar,Desert Sand,Jowar,None,Empty Field,34.5,7.3,27.5,9.13,5.0,Desert grasses,Pre-Sowing
Tharparkar,Sandy Loam,None,Moth bean,Maturity,5.2,13.0,16.2,8.97,4.3,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Desert Sand,None,Jowar,Flowering,69.8,33.8,40.4,7.38,11.6,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy,None,Bajra,Flowering,50.5,14.3,41.1,7.88,9.1,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Light Sandy,None,Moth bean,Flowering,14.0,29.2,33.6,7.3,11.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,Bajra,None,Empty Field,57.8,14.8,69.2,7.08,25.3,Jowar,Pre-Sowing
Umerkot,Clay,Bajra,None,Empty Field,54.0,30.3,90.3,7.1,35.2,Bajra,Pre-Sowing
Mirpur Khas,Clay Loam,Rice,None,Empty Field,76.9,42.2,126.6,7.07,24.8,Wheat,Pre-Sowing
Umerkot,Loamy,None,Onion,Maturity,78.1,28.7,130.5,6.96,35.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Alluvial,None,Sugarcane,Vegetative,68.5,25.6,81.8,7.71,26.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy Loam,None,Jowar,Vegetative,35.7,13.8,30.4,7.22,8.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Silt Loam,None,Cotton,Flowering,62.3,26.8,92.5,7.81,22.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Desert Sand,None,Jowar,Flowering,38.7,13.8,35.0,8.16,7.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Jowar,None,Empty Field,12.8,18.5,19.5,7.73,9.1,Desert grasses,Pre-Sowing
Mirpur Khas,Alluvial,None,Banana,Vegetative,185.6,82.7,237.2,6.09,81.9,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,Moth bean,None,Empty Field,8.9,18.1,23.5,8.7,11.0,Moth bean,Pre-Sowing
Tharparkar,Desert Sand,Desert grasses,None,Empty Field,47.6,19.8,70.0,7.49,21.5,Jowar,Pre-Sowing
Umerkot,Clay,Guar,None,Empty Field,27.4,12.0,21.6,8.14,14.1,Moth bean,Pre-Sowing
Umerkot,Sandy Loam,Onion,None,Empty Field,46.4,8.6,32.6,8.1,12.7,Moth bean,Pre-Sowing
Mirpur Khas,Clay Loam,Wheat,None,Empty Field,142.8,47.1,175.6,6.82,62.9,Onion,Pre-Sowing
Umerkot,Loamy,None,Bajra,Vegetative,62.5,20.4,61.6,8.09,17.2,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Clay,None,Wheat,Seedling,99.3,42.1,122.8,7.5,45.3,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,None,Guar,Vegetative,36.8,58.2,66.2,7.36,20.4,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,None,Dates,Seedling,81.5,35.2,90.9,7.51,7.1,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Sandy Loam,Onion,None,Empty Field,31.9,14.3,56.0,7.82,21.3,Guar,Pre-Sowing
Umerkot,Sandy Loam,None,Onion,Seedling,37.3,22.3,92.6,7.28,18.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Clay Loam,None,Mango,Flowering,121.1,55.9,203.3,5.92,46.6,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,Desert grasses,None,Empty Field,5.0,9.4,15.0,9.26,5.1,Desert grasses,Pre-Sowing
Tharparkar,Sandy Loam,None,Bajra,Seedling,75.4,18.5,81.4,7.51,20.0,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,Guava,None,Empty Field,127.8,45.1,116.5,5.53,88.2,Rice,Pre-Sowing
Mirpur Khas,Alluvial,Mango,None,Empty Field,125.9,55.7,182.5,6.83,62.3,Onion,Pre-Sowing
Tharparkar,Desert Sand,Desert grasses,None,Empty Field,27.8,37.4,47.8,8.82,19.1,Guar,Pre-Sowing
Umerkot,Light Sandy,Onion,None,Empty Field,99.0,41.6,99.9,7.13,29.0,Bajra,Pre-Sowing
Mirpur Khas,Clay Loam,None,Tomato,Flowering,121.5,69.7,195.1,6.02,64.7,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,Wheat,None,Empty Field,31.1,24.6,41.4,7.71,11.9,Moth bean,Pre-Sowing
Tharparkar,Desert Sand,Wheat,None,Empty Field,103.7,66.0,125.0,7.83,13.0,Dates,Pre-Sowing
Mirpur Khas,Alluvial,Onion,None,Empty Field,88.5,29.3,137.9,7.43,34.0,Wheat,Pre-Sowing
Umerkot,Clay,None,Onion,Seedling,114.3,54.3,150.3,6.95,62.2,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,Guar,None,Empty Field,94.3,56.5,142.2,7.6,21.5,Dates,Pre-Sowing
Mirpur Khas,Alluvial,None,Rice,Seedling,125.8,48.0,134.3,5.67,91.7,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,None,Sunflower,Maturity,46.5,15.1,51.7,8.22,17.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Mirpur Khas,Alluvial,Mango,None,Empty Field,184.0,73.4,255.8,6.94,67.5,Sugarcane,Pre-Sowing
Mirpur Khas,Alluvial,None,Cotton,Maturity,124.3,52.1,214.8,6.94,53.6,Nutrients Optimal - No Action Needed,Growth
Umerkot,Loamy,Onion,None,Empty Field,10.9,20.6,31.3,8.86,8.3,Moth bean,Pre-Sowing
Tharparkar,Sandy,None,Jowar,Vegetative,41.8,15.3,29.2,7.94,8.7,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,None,Guar,Maturity,5.0,11.5,17.0,9.46,5.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Sandy Loam,None,Onion,Maturity,107.8,50.6,151.8,6.98,49.2,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Alluvial,Wheat,None,Empty Field,73.0,22.8,65.8,7.74,39.0,Wheat,Pre-Sowing
Umerkot,Light Sandy,Chilli,None,Empty Field,32.5,24.5,65.6,7.96,25.7,Guar,Pre-Sowing
Mirpur Khas,Clay Loam,None,Rice,Seedling,37.7,17.8,44.0,7.25,26.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Mirpur Khas,Loamy,None,Rice,Flowering,119.7,47.9,129.7,5.76,93.4,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Clay Loam,None,Banana,Flowering,136.5,57.4,161.1,6.9,67.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy Loam,None,Dates,Seedling,65.0,39.5,80.7,8.52,7.3,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,Moth bean,None,Empty Field,6.5,6.1,15.0,8.48,3.8,Desert grasses,Pre-Sowing
Mirpur Khas,Silt Loam,None,Rice,Maturity,93.4,28.8,83.5,6.26,56.7,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Clay Loam,Mango,None,Empty Field,107.9,56.2,202.6,7.24,69.4,Cotton,Pre-Sowing
Tharparkar,Sandy Loam,None,Bajra,Flowering,63.6,26.8,48.2,7.81,22.6,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,Moth bean,None,Empty Field,85.0,30.5,111.6,7.36,47.3,Wheat,Pre-Sowing
Mirpur Khas,Alluvial,Sugarcane,None,Empty Field,48.8,31.8,58.6,7.76,22.1,Wheat,Pre-Sowing
Tharparkar,Sandy,None,Desert grasses,Flowering,6.0,6.8,16.4,8.2,3.4,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,Bajra,None,Empty Field,74.6,36.7,84.3,6.85,33.9,Jowar,Pre-Sowing
Umerkot,Sandy Loam,Chilli,None,Empty Field,111.3,40.4,128.7,7.52,39.7,Wheat,Pre-Sowing
Mirpur Khas,Loamy,None,Sugarcane,Flowering,221.4,80.1,237.3,7.14,73.2,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,Bajra,None,Empty Field,59.8,33.8,53.6,7.07,16.5,Jowar,Pre-Sowing
Tharparkar,Sandy,None,Jowar,Flowering,75.4,18.0,58.8,8.39,18.7,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,None,Moth bean,Flowering,24.6,31.8,45.2,7.52,9.8,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,Banana,None,Empty Field,123.1,60.9,114.2,6.3,85.4,Rice,Pre-Sowing
Umerkot,Sandy Loam,None,Moth bean,Maturity,16.8,22.0,29.9,7.35,10.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,None,Dates,Flowering,79.7,40.1,72.9,8.84,5.9,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Alluvial,None,Guava,Maturity,72.4,28.7,92.0,7.17,35.2,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Light Sandy,None,Chilli,Maturity,63.1,35.6,111.6,6.85,36.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,None,Moth bean,Seedling,12.4,22.1,29.3,8.38,12.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,Desert grasses,None,Empty Field,63.9,35.6,88.6,8.39,7.8,Bajra,Pre-Sowing
Umerkot,Light Sandy,Sunflower,None,Empty Field,39.0,26.5,46.4,7.8,26.3,Guar,Pre-Sowing
Umerkot,Light Sandy,Moth bean,None,Empty Field,15.2,38.7,35.6,8.82,15.2,Moth bean,Pre-Sowing
Umerkot,Clay,Chilli,None,Empty Field,20.0,48.9,58.6,7.99,31.4,Guar,Pre-Sowing
Tharparkar,Desert Sand,None,Moth bean,Seedling,5.0,11.4,18.2,9.2,5.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Desert Sand,Bajra,None,Empty Field,16.4,22.5,43.3,8.08,13.9,Moth bean,Pre-Sowing
Tharparkar,Sandy,Dates,None,Empty Field,47.4,15.0,58.7,8.5,24.6,Desert grasses,Pre-Sowing
Mirpur Khas,Alluvial,None,Cotton,Seedling,127.4,53.4,179.5,7.14,50.2,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,Sunflower,None,Empty Field,63.2,28.5,85.9,6.93,31.8,Bajra,Pre-Sowing
Umerkot,Loamy,Bajra,None,Empty Field,70.5,31.2,142.8,8.0,37.7,Bajra,Pre-Sowing
Tharparkar,Sandy Loam,None,Guar,Seedling,11.1,20.8,27.7,8.75,8.8,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,Wheat,None,Empty Field,23.6,36.3,43.4,7.86,14.4,Moth bean,Pre-Sowing
Mirpur Khas,Loamy,Banana,None,Empty Field,123.5,57.6,185.5,6.26,61.5,Tomato,Pre-Sowing
Mirpur Khas,Silt Loam,Banana,None,Empty Field,132.6,47.2,135.0,5.52,91.2,Rice,Pre-Sowing
Mirpur Khas,Loamy,None,Mango,Seedling,51.0,19.4,63.6,7.13,15.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Clay,Moth bean,None,Empty Field,105.7,46.0,98.3,7.3,44.6,Wheat,Pre-Sowing
Mirpur Khas,Alluvial,None,Wheat,Flowering,66.1,32.5,81.1,7.65,33.7,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Clay Loam,Onion,None,Empty Field,127.2,50.1,181.6,6.86,54.7,Onion,Pre-Sowing
Mirpur Khas,Clay Loam,Rice,None,Empty Field,98.0,28.1,148.3,7.6,24.5,Wheat,Pre-Sowing
Umerkot,Light Sandy,Onion,None,Empty Field,26.2,14.0,24.9,8.1,11.5,Moth bean,Pre-Sowing
Tharparkar,Desert Sand,None,Wheat,Seedling,54.1,16.7,66.9,7.21,24.1,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Sandy Loam,None,Bajra,Vegetative,93.8,34.6,100.6,7.25,28.6,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,None,Desert grasses,Seedling,15.1,17.6,29.4,8.51,5.3,Nutrients Optimal - No Action Needed,Growth
Umerkot,Loamy,None,Sunflower,Maturity,58.5,27.4,77.0,7.84,27.0,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Desert Sand,None,Jowar,Maturity,67.9,20.1,43.6,7.46,24.3,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Desert Sand,Desert grasses,None,Empty Field,72.6,25.5,79.8,7.68,40.4,Wheat,Pre-Sowing
Umerkot,Sandy Loam,None,Moth bean,Seedling,18.9,33.6,45.5,7.03,18.5,Nutrients Optimal - No Action Needed,Growth
Umerkot,Loamy,Cotton,None,Empty Field,32.0,17.8,27.8,8.65,11.9,Moth bean,Pre-Sowing
Mirpur Khas,Alluvial,Guava,None,Empty Field,80.2,34.2,97.0,6.84,37.0,Wheat,Pre-Sowing
Tharparkar,Sandy Loam,None,Desert grasses,Seedling,5.0,4.7,15.0,9.5,2.6,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,None,Dates,Vegetative,82.5,34.4,78.5,8.66,5.7,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,Bajra,None,Empty Field,10.3,14.9,25.1,8.24,6.3,Desert grasses,Pre-Sowing
Mirpur Khas,Alluvial,None,Guava,Seedling,80.4,36.0,92.9,5.83,36.3,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,None,Guar,Flowering,9.4,16.0,23.7,8.56,7.6,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Desert Sand,None,Jowar,Flowering,33.3,11.1,19.9,8.86,4.8,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Silt Loam,Sugarcane,None,Empty Field,78.4,29.2,78.7,5.86,56.3,Guava,Pre-Sowing
Tharparkar,Desert Sand,Desert grasses,None,Empty Field,44.9,13.1,32.7,8.74,8.1,Desert grasses,Pre-Sowing
Mirpur Khas,Alluvial,Rice,None,Empty Field,83.8,32.5,88.6,6.16,66.4,Guava,Pre-Sowing
Mirpur Khas,Silt Loam,Chilli,None,Empty Field,181.7,73.4,256.9,6.09,82.8,Banana,Pre-Sowing
Mirpur Khas,Clay Loam,None,Cotton,Flowering,78.3,32.0,147.2,7.13,39.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Clay Loam,Mango,None,Empty Field,63.8,26.6,86.9,7.24,34.2,Wheat,Pre-Sowing
Tharparkar,Sandy Loam,None,Moth bean,Vegetative,9.6,15.0,23.6,8.86,7.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Light Sandy,None,Sunflower,Seedling,60.8,34.8,87.4,7.77,31.3,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Alluvial,Banana,None,Empty Field,34.1,17.4,54.9,8.14,20.6,Wheat,Pre-Sowing
Umerkot,Loamy,Guar,None,Empty Field,102.3,58.6,123.6,6.82,45.7,Sunflower,Pre-Sowing
Umerkot,Sandy Loam,Onion,None,Empty Field,41.9,15.0,72.1,7.77,12.5,Guar,Pre-Sowing
Tharparkar,Desert Sand,None,Dates,Seedling,48.2,23.1,52.5,8.5,3.1,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Umerkot,Clay,None,Chilli,Seedling,104.9,54.1,121.3,6.83,46.6,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,None,Sunflower,Vegetative,102.9,39.1,111.0,7.06,51.5,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Silt Loam,None,Banana,Seedling,136.8,49.2,200.2,6.03,53.7,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Clay,None,Onion,Vegetative,108.9,55.8,169.2,6.7,62.2,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Silt Loam,None,Guava,Vegetative,92.4,38.6,145.7,5.64,49.6,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,None,Desert grasses,Maturity,6.1,6.3,15.0,9.5,3.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Light Sandy,Jowar,None,Empty Field,94.1,33.8,133.7,7.73,27.6,Bajra,Pre-Sowing
Mirpur Khas,Loamy,Tomato,None,Empty Field,122.5,47.9,212.3,7.19,56.7,Cotton,Pre-Sowing
Tharparkar,Sandy Loam,Wheat,None,Empty Field,44.5,12.2,36.7,7.74,7.4,Jowar,Pre-Sowing
Mirpur Khas,Loamy,None,Wheat,Flowering,94.0,27.2,88.0,6.92,31.7,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Loamy,Rice,None,Empty Field,107.1,32.4,92.0,6.35,67.9,Guava,Pre-Sowing
Umerkot,Sandy Loam,None,Jowar,Maturity,93.7,40.2,83.8,7.78,23.9,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy Loam,None,Moth bean,Flowering,8.5,15.8,21.2,8.83,6.3,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,Dates,None,Empty Field,15.9,40.1,52.3,7.59,21.5,Jowar,Pre-Sowing
Umerkot,Light Sandy,Onion,None,Empty Field,8.1,18.0,20.0,8.69,11.1,Moth bean,Pre-Sowing
Umerkot,Sandy Loam,None,Chilli,Maturity,48.4,13.6,49.7,7.51,16.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Mirpur Khas,Loamy,None,Sugarcane,Maturity,125.7,53.4,161.7,6.91,49.6,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Clay Loam,None,Banana,Flowering,202.5,71.4,271.0,6.13,81.0,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,Tomato,None,Empty Field,164.7,43.3,159.2,6.7,57.3,Onion,Pre-Sowing
Tharparkar,Sandy,Dates,None,Empty Field,6.3,5.8,15.0,7.76,3.4,Desert grasses,Pre-Sowing
Mirpur Khas,Clay Loam,Chilli,None,Empty Field,163.3,49.9,143.6,6.78,53.7,Wheat,Pre-Sowing
Umerkot,Light Sandy,Chilli,None,Empty Field,13.3,29.2,33.1,7.24,11.8,Moth bean,Pre-Sowing
Mirpur Khas,Alluvial,Sugarcane,None,Empty Field,90.9,45.8,95.1,6.06,39.5,Guava,Pre-Sowing
Umerkot,Light Sandy,Onion,None,Empty Field,58.2,40.0,102.9,6.79,36.0,Bajra,Pre-Sowing
Mirpur Khas,Alluvial,Mango,None,Empty Field,111.2,47.3,136.5,6.1,52.0,Guava,Pre-Sowing
Mirpur Khas,Clay Loam,None,Chilli,Flowering,68.0,33.4,117.6,6.03,44.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Mirpur Khas,Clay Loam,None,Sugarcane,Maturity,122.1,50.6,147.2,7.86,53.9,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,None,Guar,Seedling,31.8,59.1,67.6,7.87,19.1,Nutrients Optimal - No Action Needed,Growth
Umerkot,Sandy Loam,Jowar,None,Empty Field,119.0,41.9,204.2,7.64,46.7,Cotton,Pre-Sowing
Mirpur Khas,Clay Loam,Mango,None,Empty Field,73.2,38.3,133.2,6.64,47.3,Guava,Pre-Sowing
Umerkot,Light Sandy,Chilli,None,Empty Field,79.1,22.0,75.0,7.34,34.0,Jowar,Pre-Sowing
Tharparkar,Sandy,None,Jowar,Vegetative,44.3,12.7,28.5,8.87,8.8,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy Loam,None,Desert grasses,Flowering,6.4,6.4,17.1,9.06,3.5,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,None,Dates,Maturity,63.3,44.3,81.4,7.52,6.2,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Sandy Loam,None,Sunflower,Maturity,47.6,22.2,36.3,8.21,19.5,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency) + Apply Gypsum - Reduce Soil Alkalinity,Growth
Mirpur Khas,Alluvial,None,Chilli,Vegetative,105.7,50.6,165.7,6.94,59.7,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Clay Loam,None,Mango,Maturity,84.3,36.2,146.8,6.69,29.1,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Sandy,None,Wheat,Maturity,25.4,11.4,45.8,8.42,13.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Sandy,Wheat,None,Empty Field,5.0,5.0,15.0,9.5,2.6,Desert grasses,Pre-Sowing
Mirpur Khas,Alluvial,Chilli,None,Empty Field,96.0,37.1,90.5,6.02,74.4,Rice,Pre-Sowing
Mirpur Khas,Silt Loam,None,Banana,Flowering,198.7,76.5,226.1,6.44,79.7,Nutrients Optimal - No Action Needed,Growth
Tharparkar,Sandy,Guar,None,Empty Field,44.2,15.8,34.3,7.49,7.5,Jowar,Pre-Sowing
Mirpur Khas,Clay Loam,None,Tomato,Maturity,122.1,69.6,162.3,6.18,57.7,Nutrients Optimal - No Action Needed,Growth
